,security_code,security_name,primary_exchange,refinitiv_code,isin_code,announceddate,exdate,corpactcode,corporateaction
0,48655.0,SYNTHOMER,LON,46186.0,GB00BNTVWJ75,2023-09-07,2023-09-26,CONS,Consolidation
1,48655.0,SYNTHOMER,LON,46186.0,GB00BNTVWJ75,2023-09-07,2023-09-28,RGHT,Rights Issue
2,48655.0,SYNTHOMER,LON,46186.0,GB00BNTVWJ75,2023-09-07,2023-09-26,WRDN,Write Down
0,6543.0,CAPRICORN ENERGY,LON,46290.0,GB00BQ98V038,2023-04-27,2023-05-16,REVS,Reverse Stock Split
1,6543.0,CAPRICORN ENERGY,LON,46290.0,GB00BQ98V038,2023-04-27,2023-05-16,CAPR,Capital Repayment
0,236079.0,HOME REIT,LON,330524.0,GB00BJP5HK17,2023-02-16,2023-02-16,TAKE,Takeover
0,206277.0,CLIPPER LOGISTICS,LON,276222.0,GB00BMMV6B79,2022-02-20,2022-02-20,TAKE,Takeover
1,206277.0,CLIPPER LOGISTICS,LON,276222.0,GB00BMMV6B79,2022-02-20,2022-05-24,MERG,Merger
0,11019.0,TEMPLE BAR,LON,46105.0,GB00BMV92D64,2022-03-24,2022-05-13,SUBD,Subdivision
0,242457.0,BALTIC CLASSIFIEDS GROUP,LON,341610.0,GB00BN44P254,2021-09-30,2021-09-23,WRDN,Write Down
0,6115.0,MEGGITT,LON,46317.0,GB0005758098,2021-08-02,2021-08-02,TAKE,Takeover
1,6115.0,MEGGITT,LON,46317.0,GB0005758098,2021-08-02,2022-09-12,MERG,Merger
2,6115.0,MEGGITT,LON,46317.0,GB0005758098,2021-08-11,2021-08-11,TAKE,Takeover
3,6115.0,MEGGITT,LON,46317.0,GB0005758098,2021-08-11,2021-09-07,TAKE,Takeover
0,36953.0,MORRISON(WM)SPMKTS.,LON,46209.0,GB0006043169,2020-06-19,2021-10-27,MERG,Merger
1,36953.0,MORRISON(WM)SPMKTS.,LON,46209.0,GB0006043169,2021-07-03,2021-10-04,TAKE,Takeover
0,207002.0,SPIRE HEALTHCARE GP.,LON,277221.0,GB00BNLPYF73,2021-05-26,2021-05-26,TAKE,Takeover
1,207002.0,SPIRE HEALTHCARE GP.,LON,277221.0,GB00BNLPYF73,2021-05-26,2021-07-20,TAKE,Takeover
0,41070.0,HAMMERSON,LON,46058.0,GB00BK7YQK64,2020-08-05,2020-09-02,WRDN,Write Down
1,41070.0,HAMMERSON,LON,46058.0,GB00BK7YQK64,2020-08-06,2020-09-02,CONS,Consolidation
2,41070.0,HAMMERSON,LON,46058.0,GB00BK7YQK64,2020-08-06,2020-09-10,RGHT,Rights Issue
0,50628.0,SDL,LON,13839.0,GB0009376368,2020-08-27,2020-11-04,MERG,Merger
0,32351.0,HYVE GROUP,LON,46271.0,GB00BKP36R26,2020-05-07,2020-05-28,CONS,Consolidation
1,32351.0,HYVE GROUP,LON,46271.0,GB00BKP36R26,2020-05-07,2020-05-28,RGHT,Rights Issue
0,230419.0,HELIOS TOWERS,LON,319932.0,GB00BJVQC708,2019-12-03,2019-12-03,WRDN,Write Down
0,205527.0,JUST EAT,LON,275005.0,GB00BKX5CN86,2019-07-27,2020-01-31,MERG,Merger
1,205527.0,JUST EAT,LON,275005.0,GB00BKX5CN86,2019-10-22,2020-01-31,TAKE,Takeover
0,228624.0,FIN FINABLR,LON,316810.0,GB00BJ7HMW26,2019-11-06,2019-11-06,WRDN,Write Down
0,229125.0,TRAINLINE,LON,317584.0,GB00BKDTK925,2019-07-31,2019-07-31,WRDN,Write Down
0,39759.0,KIER GROUP,LON,43696.0,GB0004915632,2018-11-30,2018-12-05,RGHT,Rights Issue
0,29215.0,RESTAURANT GROUP,LON,46395.0,GB00B0YG1K06,2018-11-12,2018-11-29,RGHT,Rights Issue
0,53532.0,LAIRD,LON,45994.0,GB00B1VNST91,2018-03-01,2018-06-29,TAKE,Takeover
0,41070.0,HAMMERSON,LON,46058.0,GB00BK7YQK64,2018-03-19,2018-04-13,TAKE,Takeover
1,41070.0,HAMMERSON,LON,46058.0,GB00BK7YQK64,,2018-03-19,TAKE,Takeover
0,54187.0,HANSTEEN HOLDINGS,LON,28153.0,GB00B0PPFY88,2018-03-20,2018-05-03,CAPR,Capital Repayment
0,43898.0,UNBOUND GROUP,LON,46857.0,GB0003085445,2017-10-24,2017-11-02,CAPR,Capital Repayment
0,213532.0,ASCENTIAL,LON,287998.0,GB00BYM8GJ06,2016-06-09,2016-06-08,WRDN,Write Down
0,21947.0,MELROSE INDUSTRIES,LON,13954.0,GB00BNGDN821,2016-07-06,2016-08-09,RGHT,Rights Issue
0,202624.0,MEDICLINIC INTERNATIONAL,LON,267405.0,GB00B8HX8Z88,2015-11-19,2016-02-11,CAPR,Capital Repayment
0,34517.0,LONMIN,LON,46093.0,GB0031192486,2015-11-03,2015-11-20,WRDN,Write Down
1,34517.0,LONMIN,LON,46093.0,GB0031192486,2015-11-09,2015-11-20,RGHT,Rights Issue
2,34517.0,LONMIN,LON,46093.0,GB0031192486,2015-11-09,2015-12-18,CONS,Consolidation
0,209573.0,AUTO TRADER GROUP,LON,281538.0,GB00BVYVFW23,2015-07-30,2015-07-29,WRDN,Write Down
0,206589.0,AA,LON,276641.0,GB00BMSKPJ95,2015-03-25,2015-03-26,RGHT,Rights Issue
0,40055.0,CURRYS,LON,21262.0,GB00B4Y7R145,,2014-08-06,EXCH,Exchange
0,3143.0,PETROPAVLOVSK,LON,9242.0,GB0031544546,2013-03-28,2013-06-26,STKD,Stock Dividend
0,31204.0,THOMAS COOK GROUP,LON,22391.0,GB00B1VYCH82,2013-05-16,2013-06-05,RGHT,Rights Issue
1,31204.0,THOMAS COOK GROUP,LON,22391.0,GB00B1VYCH82,2013-05-17,2013-06-04,WRDN,Write Down
